threshold,tp,fn,fp,tn,precision,recall,f1,accuracy,letter
0.8500000000000002,53,13,1,69,0.9814814814814815,0.803030303030303,0.8833333333333332,0.8970588235294118,b
0.9000000000000002,41,25,0,70,1.0,0.6212121212121212,0.766355140186916,0.8161764705882353,b
0.9500000000000003,0,66,0,70,0.0,0.0,0.0,0.5147058823529411,b
0.1,272,2,42,185,0.8662420382165605,0.9927007299270073,0.9251700680272109,0.9121756487025948,c
0.15000000000000002,271,3,41,186,0.8685897435897436,0.9890510948905109,0.9249146757679181,0.9121756487025948,c
0.20000000000000004,270,4,34,193,0.8881578947368421,0.9854014598540146,0.9342560553633217,0.9241516966067864,c
0.25000000000000006,270,4,32,195,0.8940397350993378,0.9854014598540146,0.9374999999999999,0.9281437125748503,c
0.30000000000000004,269,5,27,200,0.9087837837837838,0.9817518248175182,0.943859649122807,0.936127744510978,c
0.3500000000000001,269,5,17,210,0.9405594405594405,0.9817518248175182,0.9607142857142856,0.9560878243512974,c
0.40000000000000013,268,6,13,214,0.9537366548042705,0.9781021897810219,0.9657657657657659,0.9620758483033932,c
0.45000000000000007,263,11,9,218,0.9669117647058824,0.9598540145985401,0.9633699633699634,0.9600798403193613,c
0.5000000000000001,262,12,8,219,0.9703703703703703,0.9562043795620438,0.9632352941176471,0.9600798403193613,c
0.5500000000000002,261,13,8,219,0.9702602230483272,0.9525547445255474,0.9613259668508287,0.9580838323353293,c
0.6000000000000002,261,13,6,221,0.9775280898876404,0.9525547445255474,0.964879852125693,0.9620758483033932,c
0.6500000000000001,258,16,4,223,0.9847328244274809,0.9416058394160584,0.9626865671641791,0.9600798403193613,c
0.7000000000000002,256,18,4,223,0.9846153846153847,0.9343065693430657,0.9588014981273408,0.9560878243512974,c
0.7500000000000002,255,19,4,223,0.9845559845559846,0.9306569343065694,0.9568480300187617,0.9540918163672655,c
0.8000000000000002,253,21,3,224,0.98828125,0.9233576642335767,0.9547169811320754,0.9520958083832335,c
0.8500000000000002,249,25,3,224,0.9880952380952381,0.9087591240875912,0.9467680608365019,0.9441117764471058,c
0.9000000000000002,243,31,3,224,0.9878048780487805,0.8868613138686131,0.9346153846153846,0.9321357285429142,c
0.9500000000000003,218,56,0,227,1.0,0.7956204379562044,0.8861788617886179,0.8882235528942116,c
0.1,239,3,24,121,0.908745247148289,0.987603305785124,0.9465346534653466,0.9302325581395349,d
0.15000000000000002,239,3,23,122,0.9122137404580153,0.987603305785124,0.9484126984126985,0.9328165374677002,d
0.20000000000000004,238,4,23,122,0.9118773946360154,0.9834710743801653,0.9463220675944334,0.9302325581395349,d
0.25000000000000006,237,5,23,122,0.9115384615384615,0.9793388429752066,0.944223107569721,0.9276485788113695,d
0.30000000000000004,236,6,23,122,0.9111969111969112,0.9752066115702479,0.9421157684630739,0.9250645994832042,d
0.3500000000000001,236,6,22,123,0.9147286821705426,0.9752066115702479,0.944,0.9276485788113695,d
0.40000000000000013,235,7,22,123,0.914396887159533,0.9710743801652892,0.9418837675350702,0.9250645994832042,d
0.45000000000000007,235,7,22,123,0.914396887159533,0.9710743801652892,0.9418837675350702,0.9250645994832042,d
0.5000000000000001,234,8,22,123,0.9140625,0.9669421487603306,0.9397590361445782,0.9224806201550387,d
0.5500000000000002,232,10,22,123,0.9133858267716536,0.9586776859504132,0.935483870967742,0.917312661498708,d
0.6000000000000002,232,10,21,124,0.9169960474308301,0.9586776859504132,0.9373737373737375,0.9198966408268734,d
0.6500000000000001,230,12,21,124,0.9163346613545816,0.9504132231404959,0.9330628803245437,0.9147286821705426,d
0.7000000000000002,228,14,18,127,0.926829268292683,0.9421487603305785,0.9344262295081968,0.917312661498708,d
0.7500000000000002,227,15,15,130,0.9380165289256198,0.9380165289256198,0.9380165289256198,0.9224806201550387,d
0.8000000000000002,223,19,9,136,0.9612068965517241,0.9214876033057852,0.9409282700421941,0.9276485788113695,d
